tour_name,tour_operator,overall_assessment,tour_itinerary,tour_director,lecture_host,tour_hotel,tour_ship,tour_meal,tour_staff
paradores.17,ODY,Excellent,Excellent,Excellent,Excellent,Very Good,NA,Good,Very Good
paradores.17,ODY,Excellent,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent
mediterranean.17,GON,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent,Excellent
mediterranean.17,GON,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Excellent,NA
mediterranean.17,GON,Excellent,Excellent,Excellent,Excellent,NA,Excellent,Very Good,Excellent
mediterranean.17,GON,Excellent,Excellent,Very Good,Excellent,NA,Excellent,Excellent,Excellent
africa.oct15,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
africa.oct15,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,NA
africa.oct15,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Very Good,Excellent
africa.oct15,ODY,Excellent,Very Good,Excellent,NA,Very Good,NA,Very Good,Good
africa.oct15,ODY,Excellent,NA,Excellent,NA,Excellent,NA,Excellent,Excellent
africa.oct15,ODY,Excellent,Very Good,Excellent,NA,Excellent,NA,Excellent,Excellent
africa.oct15,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
africa.oct15,ODY,Excellent,Excellent,Excellent,NA,Excellent,NA,Excellent,Excellent
